role,name,team
student,sethteo,CS2103-F08-1
student,chewbum,CS2103-F08-1
student,timothysashimi,CS2103-F08-1
student,jaejayrome,CS2103-F08-1
student,itstrueitstrueitsrealitsreal,CS2103-F08-1
student,Jerome-j,CS2103-F08-2
student,caitlyntang,CS2103-F08-2
student,vnnamng,CS2103-F08-2
student,tankh99,CS2103-F08-2
student,JerryWang0000,CS2103-F08-3
student,Pluiexo,CS2103-F08-3
student,iynixil,CS2103-F08-3
student,whitesnowx,CS2103-F08-3
student,tsulim,CS2103-F08-3
student,joelgoh1,CS2103-F08-4
student,yap-zong-xin,CS2103-F08-4
student,amanzainal,CS2103-F08-4
student,redcolorbicycle,CS2103-F09-1
student,KhoonSun47,CS2103-F09-1
student,felixchanyy,CS2103-F09-1
student,zengzihui,CS2103-F09-1
student,lokidoki102,CS2103-F09-1
student,guohuang88,CS2103-F09-2
student,choowengyan,CS2103-F09-2
student,SherisseTJW,CS2103-F09-2
student,NeoHW,CS2103-F09-2
student,ZhiWei1010,CS2103-F09-2
student,TopKec,CS2103-F09-3
student,tanqinyong,CS2103-F09-3
student,JonChong98,CS2103-F09-3
student,Darylgolden,CS2103-F09-3
student,biinnnggggg,CS2103-F09-3
student,sebin0817,CS2103-F09-4
student,joenus,CS2103-F09-4
student,jmsandiegoo,CS2103-F09-4
student,rickkoh,CS2103-F09-4
student,raysonchia,CS2103-F09-4
student,Arixeyeion,CS2103-F15-1
student,YuZizhen,CS2103-F15-1
student,Dethada,CS2103-F15-1
student,Javiery3889,CS2103-F15-1
student,KohGuanZeh,CS2103-F15-1
student,gowthaman-01,CS2103-F15-2
student,AL-ZT,CS2103-F15-2
student,Hwww23,CS2103-F15-2
student,zoebelle-pang,CS2103-F15-2
student,ChrisHo1341,CS2103-F15-3
student,xinen26,CS2103-F15-3
student,lihaoquan,CS2103-F15-3
student,ys112,CS2103-F15-3
student,YuvBindal,CS2103-F15-3
student,Morninggloryyy,CS2103-F15-4
student,beefsausagee,CS2103-F15-4
student,garywongkai,CS2103-F15-4
student,AwJoey,CS2103-F15-4
student,DominicFuMJ,CS2103-F15-4
student,darryl-chan,CS2103-T14-1
student,tanjiajiajun,CS2103-T14-1
student,jeremiahlzz,CS2103-T14-1
student,matthewken19,CS2103-T14-1
student,marclamp,CS2103-T14-1
student,fy17ohhh,CS2103-T14-1
student,ejnan,CS2103T-F10-1
student,swtan346,CS2103T-F10-1
student,erv-teo,CS2103T-F10-1
student,ryanlimdx,CS2103T-F10-1
student,iamtr,CS2103T-F10-1
student,MarcusGitty,CS2103T-F10-2
student,KinTatHo,CS2103T-F10-2
student,0nesheep,CS2103T-F10-2
student,jessicawyz,CS2103T-F10-2
student,limrik,CS2103T-F10-3
student,cliftonchee,CS2103T-F10-3
student,dayn-1,CS2103T-F10-3
